"","Agegroup","Bin_cml","Cml","team"
"1","0-4 years","sm.mean",0.569073,"COL"
"2","5-17 years","sm.mean",1.019572,"COL"
"3","18-49 years","sm.mean",13.110853,"COL"
"4","50-64 years","sm.mean",16.535554,"COL"
"5","65+ years","sm.mean",85.736179,"COL"
"6","0-4 years","sm.mean",1.110005,"NEU"
"7","5-17 years","sm.mean",2.41064,"NEU"
"8","18-49 years","sm.mean",11.892815,"NEU"
"9","50-64 years","sm.mean",21.083104,"NEU"
"10","65+ years","sm.mean",253.482856,"NEU"
"11","0-4 yr","sm.mean",1.90550572710846,"UTA"
"12","5-17 yr","sm.mean",2.8650013840052,"UTA"
"13","18-49 yr","sm.mean",20.8633040769107,"UTA"
"14","50-64 yr","sm.mean",22.0606215259606,"UTA"
"15","65+ yr","sm.mean",236.747004951225,"UTA"
"16","0-4 years","sm.mean",1.4491625685794,"UVA"
"17","5-17 years","sm.mean",5.15738135872593,"UVA"
"18","18-49 years","sm.mean",13.1115263125261,"UVA"
"19","50-64 years","sm.mean",22.1967408790826,"UVA"
"20","65+ years","sm.mean",108.050326911973,"UVA"
"21","0-4 years","sm.mean",1.18921765902775,"IMP"
"22","5-17 years","sm.mean",2.39613662654073,"IMP"
"23","18-49 years","sm.mean",9.92260383232399,"IMP"
"24","50-64 years","sm.mean",16.5416494911981,"IMP"
"25","65+ years","sm.mean",255.26366770704,"IMP"
"26","0-4 years","sm.mean",1.63925782066797,"COL2"
"27","5-17 years","sm.mean",3.0277127588531,"COL2"
"28","18-49 years","sm.mean",12.6045588481429,"COL2"
"29","50-64 years","sm.mean",12.5072246411284,"COL2"
"30","65+ years","sm.mean",94.0243886664004,"COL2"
